Target,Cleaned
0,पत्रकार भएसी अबस्था सत्यतथ्य देखाउन
1,बुढो मारीसकि अनि केपि अङ्गालो हालेर रास्ट्रपति पद बेज्जत गर्छेस
0,कुकुर पत्रकार चुतिया बोल्ने शैली सोध्ने प्रश्न्न दाम गालत यस्ता पत्रकार भान्दा नहुनु बेस साले चोर पत्रकार
0,तपाई नेपाली
1,नमस्कार रबी सर दिकप सर गरे पनी देश क़ानून रबि सर बाट सिके नी सधै देखाउड़ पनी लाज देश नेता सेटिंग छोडेर काम लगने भय देश बन्ने रबी सर बयान पनी सकीदैन
0,सारै लाग्यो सर हजुर प्रभाबित
1,बाबै जन्मदै बोली त्यस्तै गरुन् बिचरा राष्ट्रपति मान्छे तेती ठुलो नेता मजाक उडाए सुहाएन
0,ऋषि धमला पार्टी जुठो खाने भतुवा कुकुर हाे थुक्क चाेर
1,राम बहादुर गुरु सुरु
1,भ्रष्टाचारि पत्रकार नाक डाडी जीउँदै जलाउनुपर्छ रबि लामिछाने आरोप लाउनु आलोचना महापाप
0,मुजि पुन्य लेखचर लामो केपि प्रचण्ड सरकार बिपल्ब खोजिखोजी दन्क
1,राम बहादुर बोम्जन कार्वाही
1,नेपाल प्रहरी भएर सहि जवाफ नदिने भिडियो लिग प्रहरी मुचुल्का उठा मोबाइल चोर बिश्वराज मल्ल बचाउदै है नेपाल प्रहरी बिश्वास है यहि कुकुर बच्चा मिलेर रबि फसाउदै
0,आफु गरे चमत्कार अरु गरे बलात्कार चौथो लिंगि
0,अनि जनता चै सम्बोधन भएन रबि सर जनता सम्बोधन सहित घाइते बन्दी समेत भेट्नु
1,धर्म निरपेक्ष होलि वाइन पिउन
1,सच्चा इमान्दार देशभक्ति मान्छे खुट्टा तान्ने प्रबिधि नेपाल कहिले
1,भ्रष्टाचार चुर्लुम्मै डुबे देश नेपाल थुईक्क चोर दलाल
0,रवि लामिछाने सरकार नस्सक्ने काम गरे
1,सब भष्टचारी टुडिखेल ल्येर गोलि ठोक्ने देश भक्ति चाँहिये नेपाल
0,हाम्रा बाऊ मेहनत फल मिठोहुन्छ भन्नुहुन्थ्यो यहिहोला
1,बिजुलि बालेर पैसा तिर्दिन देश धमिरा दलाल मोसो दलेर पाता कसेर देश निकाला
0,सवै सपोट समर्थन गरौ हार्दिक नमन अहिले रबि सर यक्दमै जरुरी रबि लामिछाने जिन्दाबाद
1,थुईक्क एमाले गोठालो यस्ता मुला जड्या दलाली पुण्य गौतम खाली बिदेसि गुनगान बढाइचढाइ
0,है केपि बा
1,गोली ठोक्नु अनि बल्ल देस मुहार फेर्छ झोले कुकुर कार्यकर्ता पानी लायर लखेटनुपर्छ
0,रबि दाइलाइ जसरीनि रिहाइ
1,यस्ता झारपाते सगँ राखि लिएर
0,फेल नेपाली भेडा बुज्थे रबिन्द्र सोच धारणा भाषा उखान टुक्कामै मुक्त हुन्छन अाज देश बिगारे नेता हैन फेल भेडा फेल भेडा बाउ हैन
1,सम्मानित अदालत न्यायधीश भ्रस्ट
0,निखिल उप्रेती ज्यु बोल्नुभए बुझ्नु जरुरी एकदमै गम्भीर
1,सरकार भ्रष्टाचारी देश
0,अाउनु पर्याे राजनिती
1,थुई चोर उस् ठूलो सोर भष्र्टचारै भष्र्टचार लाज लाग्दै चोर ठुला ठुला डा
1,धोति दुईचार लात लगाएर बात दाइ
0,भगवान कसम साला धोती नरपिचास मुख हेर्दा भिडियो हेर्दा भेटे काटेर साला हजार टुत्रा पारिदियर जन्म कैद बस्दाम झै भैसक्यौ
0,रवि सर केसलाइ कडाइसङग फलो अनुरोध गर्दछु
0,रवि मिले चौर्फि माया सद्भाव समर्थन स्वागत बाट कति डाह जलन अनुमान गाह्रो
1,चोर उद्योगपुति
1,गोतामे भनाउँदो रावण राक्षस सेना एस अन्त कली युग राम लक्ष्मण हात बाट
1,ओई माकुरि ति तिम्रा शक्तिशाली आयोग झोल हली भतुवा अरु सुरेन्द्र केसि पाईलट बिजय लामा अर्जुन सुबेदि जस्ता तिम्रो आयोग तिम्रो भतुवा ति आयोग घाम मुतेर सुकाईदीए
0,रबि दाजु फ्यान यता हाजिर गरम
0,युवा नेता गगन थापा जिउ धन्यवाद
0,सागर थापा सर तपाई भनाई सहि सत्य
0,शेर बहादुर बाजे तपाई सन्यासी राजनीति बाट
1,इतिहास कालो दिन रास्ट पति हास्दा
1,हजुर पत्रकार हैन
1,अाफु सेर ठानेर प्रस्तुत हुन्छन खालि जुधाउने काम
0,काम जारी
1,कानुन गुन्डा नाइके तरफ जादै तेसै हत्य हिन्सा पुलिस भनेनी जनताला जरो आउदै झुट सहारा लि छ्न इनि जन सेवक
1,देश दुखद खबर पायकोछ भर्सटचारि बाट माईनस हार्दिक समेबेदना
0,सुशील सर कार्यक्रम नहेरी निद्रा लाग्दैन लागिरहनुस हजुर सहि
1,चोर नेता गरे माफ भ्रष्टाचार नेता जुनसुकै जनता सडक तानेर ल्ययेर आगो लाउनु
1,ब्यायि सहि गलत छुट्याउन नसक्ने एक्तर्फि सुने पेल्ने रास्ट चौथो अंग अरे
0,कारवाही
1,नेपाली काँग्रेस जति सरकार कम्निषट चलाउन पाय भय नेपाली हौँ भन्न पाऊथीनौ
0,राडिकाे छोरा मुख देख्दा रिस उठेर आउँछ सुशील सर हजुर बधाई एकचोटि पागल ज्ञानेन्द्र शाही सङ्गै बनाएर अन्तर्वार्ता गराउनु अनि समग्र प्रहरी सस्था बदनाम
1,राजा पाला उधोग बेचेर खाये डा चोर भरस्ट अझ बोल्छ कालोकोटे
